Scenario,carWidth,carLength,ratioAutonomousCars,viewLength,actPeriod,Driver,Route,DrivingTime
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,AutonomousDriver,From 0 to 0,0.0333333
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,AutonomousDriver,From 0 to 0,0.0333333
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,AutonomousDriver,From 3 to 3,0.0333333
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,AutonomousDriver,From 0 to 0,0.03333378
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,AutonomousDriver,From 3 to 3,0.033332825
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,HumanDriver,From 3 to 3,0.033332825
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,HumanDriver,From 3 to 3,0.033332825
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,AutonomousDriver,From 0 to 0,0.033332825
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,AutonomousDriver,From 1 to 1,0.033332825
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,AutonomousDriver,From 1 to 1,0.033332825
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,HumanDriver,From 3 to 3,0.033332825
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,AutonomousDriver,From 3 to 3,0.033332825
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,AutonomousDriver,From 1 to 1,0.033332825
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,AutonomousDriver,From 3 to 0,26.099758
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,HumanDriver,From 1 to 1,0.033332825
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,AutonomousDriver,From 0 to 3,26.033064
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,HumanDriver,From 0 to 3,23.84966
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,AutonomousDriver,From 1 to 0,27.332916
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,HumanDriver,From 0 to 0,0.033332825
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,AutonomousDriver,From 0 to 0,0.033332825
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,HumanDriver,From 1 to 0,25.232948
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,AutonomousDriver,From 3 to 0,29.166222
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,HumanDriver,From 3 to 0,29.03289
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,AutonomousDriver,From 0 to 0,0.033332825
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,AutonomousDriver,From 0 to 0,0.033332825
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,AutonomousDriver,From 0 to 0,0.033332825
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,HumanDriver,From 3 to 1,30.299538
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,HumanDriver,From 3 to 0,27.982906
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,HumanDriver,From 0 to 1,33.549488
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,AutonomousDriver,From 1 to 3,49.416046
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,HumanDriver,From 0 to 1,32.966164
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,AutonomousDriver,From 0 to 0,0.033332825
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,HumanDriver,From 0 to 1,31.582851
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,HumanDriver,From 0 to 0,0.033332825
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,HumanDriver,From 0 to 1,31.68285
nl.rug.dmas.trafficdemo.Scenario@5613c72d(seed: 1445325061018),1.47-2.55,2.54-6.0,0.6,4.0-12.0,100.0,HumanDriver,From 0 to 1,28.399567
nl.rug.dmas.trafficdemo.Scenario@31e5fc9d(seed: 1445325059837),1.47-2.55,2.54-6.0,0.4,4.0-12.0,100.0,HumanDriver,From 1 to 1,0.0333333
nl.rug.dmas.trafficdemo.Scenario@31e5fc9d(seed: 1445325059837),1.47-2.55,2.54-6.0,0.4,4.0-12.0,100.0,HumanDriver,From 3 to 3,0.0333333
nl.rug.dmas.trafficdemo.Scenario@31e5fc9d(seed: 1445325059837),1.47-2.55,2.54-6.0,0.4,4.0-12.0,100.0,HumanDriver,From 0 to 0,0.03333378
nl.rug.dmas.trafficdemo.Scenario@31e5fc9d(seed: 1445325059837),1.47-2.55,2.54-6.0,0.4,4.0-12.0,100.0,HumanDriver,From 0 to 0,0.03333378
nl.rug.dmas.trafficdemo.Scenario@31e5fc9d(seed: 1445325059837),1.47-2.55,2.54-6.0,0.4,4.0-12.0,100.0,HumanDriver,From 0 to 0,0.03333378
nl.rug.dmas.trafficdemo.Scenario@31e5fc9d(seed: 1445325059837),1.47-2.55,2.54-6.0,0.4,4.0-12.0,100.0,AutonomousDriver,From 3 to 3,0.03333378
nl.rug.dmas.trafficdemo.Scenario@31e5fc9d(seed: 1445325059837),1.47-2.55,2.54-6.0,0.4,4.0-12.0,100.0,HumanDriver,From 3 to 3,0.033332825
nl.rug.dmas.trafficdemo.Scenario@31e5fc9d(seed: 1445325059837),1.47-2.55,2.54-6.0,0.4,4.0-12.0,100.0,AutonomousDriver,From 1 to 1,0.033332825
nl.rug.dmas.trafficdemo.Scenario@31e5fc9d(seed: 1445325059837),1.47-2.55,2.54-6.0,0.4,4.0-12.0,100.0,HumanDriver,From 0 to 0,0.033332825
nl.rug.dmas.trafficdemo.Scenario@31e5fc9d(seed: 1445325059837),1.47-2.55,2.54-6.0,0.4,4.0-12.0,100.0,HumanDriver,From 1 to 1,0.033332825
