Scenario,carWidth,carLength,ratioAutonomousCars,viewLength,actPeriod,Driver,Route,DrivingTime
nl.rug.dmas.trafficdemo.Scenario@28b689e0(seed: 1445325053634),1.47-2.55,2.54-6.0,0.1,4.0-12.0,100.0,HumanDriver,From 0 to 3,29.916367
nl.rug.dmas.trafficdemo.Scenario@28b689e0(seed: 1445325053634),1.47-2.55,2.54-6.0,0.1,4.0-12.0,100.0,HumanDriver,From 0 to 3,29.566345
nl.rug.dmas.trafficdemo.Scenario@28b689e0(seed: 1445325053634),1.47-2.55,2.54-6.0,0.1,4.0-12.0,100.0,HumanDriver,From 0 to 3,33.216244
nl.rug.dmas.trafficdemo.Scenario@28b689e0(seed: 1445325053634),1.47-2.55,2.54-6.0,0.1,4.0-12.0,100.0,HumanDriver,From 0 to 3,32.749527
nl.rug.dmas.trafficdemo.Scenario@28b689e0(seed: 1445325053634),1.47-2.55,2.54-6.0,0.1,4.0-12.0,100.0,HumanDriver,From 0 to 3,31.416187
nl.rug.dmas.trafficdemo.Scenario@28b689e0(seed: 1445325053634),1.47-2.55,2.54-6.0,0.1,4.0-12.0,100.0,HumanDriver,From 0 to 3,30.182873
nl.rug.dmas.trafficdemo.Scenario@28b689e0(seed: 1445325053634),1.47-2.55,2.54-6.0,0.1,4.0-12.0,100.0,AutonomousDriver,From 1 to 3,35.366127
nl.rug.dmas.trafficdemo.Scenario@28b689e0(seed: 1445325053634),1.47-2.55,2.54-6.0,0.1,4.0-12.0,100.0,HumanDriver,From 1 to 3,39.232796
nl.rug.dmas.trafficdemo.Scenario@28b689e0(seed: 1445325053634),1.47-2.55,2.54-6.0,0.1,4.0-12.0,100.0,HumanDriver,From 0 to 3,37.182766
nl.rug.dmas.trafficdemo.Scenario@28b689e0(seed: 1445325053634),1.47-2.55,2.54-6.0,0.1,4.0-12.0,100.0,HumanDriver,From 1 to 3,37.666092
