Scenario,carWidth,carLength,ratioAutonomousCars,humanViewLength,autonomousViewLength,actPeriod,Driver,Route,DrivingTime
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445419841603),1.47-2.55,2.54-6.0,0.0,8.0-16.0,16.0,100.0,HumanDriver,From 3 to 1,12.149971
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445419841603),1.47-2.55,2.54-6.0,0.0,8.0-16.0,16.0,100.0,HumanDriver,From 1 to 3,12.416634
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445419841603),1.47-2.55,2.54-6.0,0.0,8.0-16.0,16.0,100.0,HumanDriver,From 3 to 1,12.583275
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445419841603),1.47-2.55,2.54-6.0,0.0,8.0-16.0,16.0,100.0,HumanDriver,From 1 to 3,12.299895
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445419841603),1.47-2.55,2.54-6.0,0.0,8.0-16.0,16.0,100.0,HumanDriver,From 1 to 0,15.633223
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445419841603),1.47-2.55,2.54-6.0,0.0,8.0-16.0,16.0,100.0,HumanDriver,From 1 to 3,12.249845
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445419841603),1.47-2.55,2.54-6.0,0.0,8.0-16.0,16.0,100.0,HumanDriver,From 1 to 3,12.883137
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445419841603),1.47-2.55,2.54-6.0,0.0,8.0-16.0,16.0,100.0,HumanDriver,From 1 to 0,12.783138
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445419841603),1.47-2.55,2.54-6.0,0.0,8.0-16.0,16.0,100.0,HumanDriver,From 1 to 3,11.933151
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445419841603),1.47-2.55,2.54-6.0,0.0,8.0-16.0,16.0,100.0,HumanDriver,From 1 to 3,12.416477
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445419841603),1.47-2.55,2.54-6.0,0.0,8.0-16.0,16.0,100.0,HumanDriver,From 0 to 1,27.316406
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445419841603),1.47-2.55,2.54-6.0,0.0,8.0-16.0,16.0,100.0,HumanDriver,From 3 to 1,28.566328
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445419841603),1.47-2.55,2.54-6.0,0.0,8.0-16.0,16.0,100.0,HumanDriver,From 3 to 0,23.632973
