Scenario,carWidth,carLength,ratioAutonomousCars,humanViewLength,autonomousViewLength,actPeriod,Driver,Route,DrivingTime
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445423745263),1.47-2.55,2.54-6.0,0.2,8.0-16.0,16.0,100.0,HumanDriver,From 1 to 3,12.4333
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445423745263),1.47-2.55,2.54-6.0,0.2,8.0-16.0,16.0,100.0,AutonomousDriver,From 1 to 3,12.149939
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445423745263),1.47-2.55,2.54-6.0,0.2,8.0-16.0,16.0,100.0,HumanDriver,From 0 to 3,16.7999
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445423745263),1.47-2.55,2.54-6.0,0.2,8.0-16.0,16.0,100.0,HumanDriver,From 1 to 3,12.199842
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445423745263),1.47-2.55,2.54-6.0,0.2,8.0-16.0,16.0,100.0,HumanDriver,From 0 to 3,18.466513
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445423745263),1.47-2.55,2.54-6.0,0.2,8.0-16.0,16.0,100.0,HumanDriver,From 0 to 3,18.349808
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445423745263),1.47-2.55,2.54-6.0,0.2,8.0-16.0,16.0,100.0,HumanDriver,From 0 to 3,18.299751
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445423745263),1.47-2.55,2.54-6.0,0.2,8.0-16.0,16.0,100.0,HumanDriver,From 0 to 3,17.783062
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445423745263),1.47-2.55,2.54-6.0,0.2,8.0-16.0,16.0,100.0,AutonomousDriver,From 0 to 3,17.116405
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445423745263),1.47-2.55,2.54-6.0,0.2,8.0-16.0,16.0,100.0,HumanDriver,From 0 to 3,14.999771
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445423745263),1.47-2.55,2.54-6.0,0.2,8.0-16.0,16.0,100.0,HumanDriver,From 0 to 3,14.083118
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445423745263),1.47-2.55,2.54-6.0,0.2,8.0-16.0,16.0,100.0,HumanDriver,From 0 to 3,14.283115
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445423745263),1.47-2.55,2.54-6.0,0.2,8.0-16.0,16.0,100.0,HumanDriver,From 0 to 3,15.166435
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445423745263),1.47-2.55,2.54-6.0,0.2,8.0-16.0,16.0,100.0,HumanDriver,From 0 to 3,14.549778
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445423745263),1.47-2.55,2.54-6.0,0.2,8.0-16.0,16.0,100.0,HumanDriver,From 0 to 3,13.816456
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445423745263),1.47-2.55,2.54-6.0,0.2,8.0-16.0,16.0,100.0,HumanDriver,From 0 to 3,15.316433
nl.rug.dmas.trafficdemo.Scenario@c038203(seed: 1445423745263),1.47-2.55,2.54-6.0,0.2,8.0-16.0,16.0,100.0,HumanDriver,From 0 to 3,15.449764
